,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
87,puerto escondido,92,MX,1548131570,100,15.86,-97.07,79.68,5.48
88,pevek,80,RU,1548131571,90,69.7,170.27,-6.72,2.24
89,adrar,0,DZ,1548129600,49,27.87,-0.29,46.4,13.87
90,yellowknife,75,CA,1548129600,83,62.45,-114.38,-14.81,5.82
91,tezu,0,IN,1548131573,33,27.93,96.16,64.43,1.79
92,jutai,56,BR,1548131574,99,-1.71,-47.89,75.0,3.02
93,ahipara,0,NZ,1548131574,74,-35.17,173.16,70.64,12.86
94,kamiiso,75,JP,1548129600,58,41.82,140.65,28.4,14.99
95,kloulklubed,75,PW,1548129000,70,7.04,134.26,86.0,11.41
96,kondagaon,0,IN,1548131575,57,19.59,81.66,78.78,7.27
97,saint-augustin,75,FR,1548129600,86,44.83,-0.61,37.4,8.05
98,east london,20,ZA,1548129600,88,-33.02,27.91,66.2,9.17
99,ampanihy,0,MG,1548131576,61,-24.69,44.75,86.57,14.2
100,beni,0,CD,1548131577,89,0.49,29.47,72.53,4.25
101,nemuro,40,JP,1548129600,53,43.32,145.57,24.8,11.41
102,tambovka,0,UA,1548131579,86,46.93,35.45,12.63,7.38
103,dongying,0,CN,1548131579,40,37.43,118.67,47.6,9.73
104,ribeira grande,0,PT,1548131580,100,38.52,-28.7,59.61,17.22
105,unity,76,CA,1548131581,54,52.44,-109.15,2.42,4.59
106,teya,5,MX,1548128760,68,21.05,-89.07,68.0,10.29
107,cabedelo,20,BR,1548129600,83,-6.97,-34.84,75.2,3.36
108,tiksi,0,RU,1548131582,0,71.64,128.87,-34.62,2.91
109,lebu,0,ET,1548126000,66,8.96,38.73,50.0,4.7
110,sitka,12,US,1548131582,45,37.17,-99.65,55.83,24.94
111,samarai,92,PG,1548131583,100,-10.62,150.67,83.01,5.59
112,georgetown,20,GY,1548129600,100,6.8,-58.16,73.4,4.7
113,havre-saint-pierre,90,CA,1548129600,65,50.23,-63.6,6.8,11.41
114,tabuk,80,PH,1548131584,86,17.41,121.44,69.38,3.36
115,nuevitas,8,CU,1548129000,72,21.55,-77.27,66.2,10.29
116,puerto ayora,64,EC,1548131585,100,-0.74,-90.35,76.49,2.8
117,raudeberg,64,NO,1548129000,64,61.99,5.14,37.4,20.8
118,faanui,48,PF,1548131585,100,-16.48,-151.75,78.83,9.17
119,adolfo lopez mateos,92,MX,1548131586,71,26.8,-109.39,59.61,0.34
120,dubuque,20,US,1548130500,60,42.5,-90.66,15.8,18.34
